,tone
289,"{'document_tone': {'tones': [{'score': 0.90774, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
290,"{'document_tone': {'tones': [{'score': 0.665555, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
291,"{'document_tone': {'tones': [{'score': 0.814354, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
292,"{'document_tone': {'tones': [{'score': 0.529559, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
293,"{'document_tone': {'tones': [{'score': 0.92203, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
294,"{'document_tone': {'tones': [{'score': 0.734502, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
295,"{'document_tone': {'tones': [{'score': 0.747984, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
296,"{'document_tone': {'tones': [{'score': 0.796273, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
297,{'document_tone': {'tones': []}}
298,"{'document_tone': {'tones': [{'score': 0.81827, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
299,"{'document_tone': {'tones': [{'score': 0.869087, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
300,"{'document_tone': {'tones': [{'score': 0.76857, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
301,{'document_tone': {'tones': []}}
302,"{'document_tone': {'tones': [{'score': 0.642098, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
303,"{'document_tone': {'tones': [{'score': 0.901282, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
304,"{'document_tone': {'tones': [{'score': 0.901282, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
305,{'document_tone': {'tones': []}}
306,{'document_tone': {'tones': []}}
307,"{'document_tone': {'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
308,"{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
309,"{'document_tone': {'tones': [{'score': 0.563615, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.997153, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Perfect location.', 'tones': [{'score': 0.737023, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Southern Hospitality.', 'tones': []}]}"
310,{'document_tone': {'tones': []}}
311,"{'document_tone': {'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
312,"{'document_tone': {'tones': [{'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
313,{'document_tone': {'tones': []}}
314,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
315,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
316,"{'document_tone': {'tones': [{'score': 0.851351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
317,"{'document_tone': {'tones': [{'score': 0.890762, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
318,"{'document_tone': {'tones': [{'score': 0.767592, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
319,"{'document_tone': {'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
320,{'document_tone': {'tones': []}}
321,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
322,{'document_tone': {'tones': []}}
323,"{'document_tone': {'tones': [{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
324,"{'document_tone': {'tones': [{'score': 0.926289, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
325,"{'document_tone': {'tones': [{'score': 0.702922, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
326,{'document_tone': {'tones': []}}
327,{'document_tone': {'tones': []}}
328,{'document_tone': {'tones': []}}
329,{'document_tone': {'tones': []}}
330,"{'document_tone': {'tones': [{'score': 0.844929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
331,{'document_tone': {'tones': []}}
332,{'document_tone': {'tones': []}}
333,{'document_tone': {'tones': []}}
334,"{'document_tone': {'tones': [{'score': 0.743484, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
335,{'document_tone': {'tones': []}}
336,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
337,{'document_tone': {'tones': []}}
338,"{'document_tone': {'tones': [{'score': 0.530726, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
339,{'document_tone': {'tones': []}}
340,{'document_tone': {'tones': []}}
341,"{'document_tone': {'tones': [{'score': 0.696344, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
342,"{'document_tone': {'tones': [{'score': 0.941817, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
343,{'document_tone': {'tones': []}}
344,"{'document_tone': {'tones': [{'score': 0.550491, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
345,{'document_tone': {'tones': []}}
346,{'document_tone': {'tones': []}}
347,{'document_tone': {'tones': []}}
348,"{'document_tone': {'tones': [{'score': 0.770991, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
349,{'document_tone': {'tones': []}}
350,{'document_tone': {'tones': []}}
351,{'document_tone': {'tones': []}}
352,{'document_tone': {'tones': []}}
353,{'document_tone': {'tones': []}}
354,{'document_tone': {'tones': []}}
355,{'document_tone': {'tones': []}}
356,{'document_tone': {'tones': []}}
357,{'document_tone': {'tones': []}}
358,{'document_tone': {'tones': []}}
359,{'document_tone': {'tones': []}}
360,{'document_tone': {'tones': []}}
361,{'document_tone': {'tones': []}}
362,{'document_tone': {'tones': []}}
363,"{'document_tone': {'tones': [{'score': 0.722081, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
364,{'document_tone': {'tones': []}}
365,{'document_tone': {'tones': []}}
366,{'document_tone': {'tones': []}}
367,"{'document_tone': {'tones': [{'score': 0.611781, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
368,{'document_tone': {'tones': []}}
369,{'document_tone': {'tones': []}}
370,{'document_tone': {'tones': []}}
371,{'document_tone': {'tones': []}}
372,{'document_tone': {'tones': []}}
373,{'document_tone': {'tones': []}}
374,{'document_tone': {'tones': []}}
375,{'document_tone': {'tones': []}}
376,{'document_tone': {'tones': []}}
377,{'document_tone': {'tones': []}}
378,{'document_tone': {'tones': []}}
379,"{'document_tone': {'tones': [{'score': 0.611519, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
380,{'document_tone': {'tones': []}}
381,{'document_tone': {'tones': []}}
382,{'document_tone': {'tones': []}}
383,{'document_tone': {'tones': []}}
384,{'document_tone': {'tones': []}}
385,{'document_tone': {'tones': []}}
386,{'document_tone': {'tones': []}}
387,"{'document_tone': {'tones': [{'score': 0.505363, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
388,{'document_tone': {'tones': []}}
389,{'document_tone': {'tones': []}}
390,"{'document_tone': {'tones': [{'score': 0.735883, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
391,{'document_tone': {'tones': []}}
392,"{'document_tone': {'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
393,"{'document_tone': {'tones': [{'score': 0.807639, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
394,"{'document_tone': {'tones': [{'score': 0.506644, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
395,"{'document_tone': {'tones': [{'score': 0.902571, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
396,"{'document_tone': {'tones': [{'score': 0.796493, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
397,{'document_tone': {'tones': []}}
398,"{'document_tone': {'tones': [{'score': 0.584443, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
399,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
400,"{'document_tone': {'tones': [{'score': 0.898178, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
401,{'document_tone': {'tones': []}}
402,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
403,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
404,"{'document_tone': {'tones': [{'score': 0.934848, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
405,"{'document_tone': {'tones': [{'score': 0.934848, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
406,"{'document_tone': {'tones': [{'score': 0.719964, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
407,"{'document_tone': {'tones': [{'score': 0.719964, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
408,"{'document_tone': {'tones': [{'score': 0.662854, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
409,"{'document_tone': {'tones': [{'score': 0.720388, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
410,"{'document_tone': {'tones': [{'score': 0.703925, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
411,{'document_tone': {'tones': []}}
412,{'document_tone': {'tones': []}}
413,"{'document_tone': {'tones': [{'score': 0.549424, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
414,"{'document_tone': {'tones': [{'score': 0.560582, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
415,"{'document_tone': {'tones': [{'score': 0.832666, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
416,"{'document_tone': {'tones': [{'score': 0.729181, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
417,"{'document_tone': {'tones': [{'score': 0.729181, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
418,"{'document_tone': {'tones': [{'score': 0.729181, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
419,{'document_tone': {'tones': []}}
420,{'document_tone': {'tones': []}}
421,"{'document_tone': {'tones': [{'score': 0.775304, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
422,"{'document_tone': {'tones': [{'score': 0.971421, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
423,"{'document_tone': {'tones': [{'score': 0.717478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
424,"{'document_tone': {'tones': [{'score': 0.717478, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
425,"{'document_tone': {'tones': [{'score': 0.86972, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
426,"{'document_tone': {'tones': [{'score': 0.600377, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
427,"{'document_tone': {'tones': [{'score': 0.928202, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
428,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
429,{'document_tone': {'tones': []}}
430,"{'document_tone': {'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
431,"{'document_tone': {'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
432,{'document_tone': {'tones': []}}
433,"{'document_tone': {'tones': [{'score': 0.61987, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
434,"{'document_tone': {'tones': [{'score': 0.795461, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
435,"{'document_tone': {'tones': [{'score': 0.841391, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
436,"{'document_tone': {'tones': [{'score': 0.881409, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
437,"{'document_tone': {'tones': [{'score': 0.93725, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
438,"{'document_tone': {'tones': [{'score': 0.782598, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
439,"{'document_tone': {'tones': [{'score': 0.782598, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
440,"{'document_tone': {'tones': [{'score': 0.56426, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
441,"{'document_tone': {'tones': [{'score': 0.577491, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
442,"{'document_tone': {'tones': [{'score': 0.577491, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
443,"{'document_tone': {'tones': [{'score': 0.577491, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
444,"{'document_tone': {'tones': [{'score': 0.966909, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
445,{'document_tone': {'tones': []}}
446,{'document_tone': {'tones': []}}
447,"{'document_tone': {'tones': [{'score': 0.512351, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
448,"{'document_tone': {'tones': [{'score': 0.963217, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
449,{'document_tone': {'tones': []}}
450,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
451,"{'document_tone': {'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
452,{'document_tone': {'tones': []}}
453,{'document_tone': {'tones': []}}
454,{'document_tone': {'tones': []}}
455,{'document_tone': {'tones': []}}
456,"{'document_tone': {'tones': [{'score': 0.937725, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
457,"{'document_tone': {'tones': [{'score': 0.90819, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
458,"{'document_tone': {'tones': [{'score': 0.90819, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
459,"{'document_tone': {'tones': [{'score': 0.90819, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
460,"{'document_tone': {'tones': [{'score': 0.938712, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
461,"{'document_tone': {'tones': [{'score': 0.938712, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
462,"{'document_tone': {'tones': [{'score': 0.70274, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
463,"{'document_tone': {'tones': [{'score': 0.917771, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
464,"{'document_tone': {'tones': [{'score': 0.917771, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
465,{'document_tone': {'tones': []}}
466,"{'document_tone': {'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
467,"{'document_tone': {'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
468,"{'document_tone': {'tones': [{'score': 0.64527, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.656298, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
469,{'document_tone': {'tones': []}}
470,"{'document_tone': {'tones': [{'score': 0.669072, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
471,"{'document_tone': {'tones': [{'score': 0.669072, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
472,"{'document_tone': {'tones': [{'score': 0.953868, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
473,"{'document_tone': {'tones': [{'score': 0.775411, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
474,"{'document_tone': {'tones': [{'score': 0.881541, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
475,{'document_tone': {'tones': []}}
476,{'document_tone': {'tones': []}}
477,"{'document_tone': {'tones': [{'score': 0.738791, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
478,"{'document_tone': {'tones': [{'score': 0.562822, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
479,"{'document_tone': {'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
480,"{'document_tone': {'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
481,{'document_tone': {'tones': []}}
482,{'document_tone': {'tones': []}}
483,{'document_tone': {'tones': []}}
484,{'document_tone': {'tones': []}}
485,"{'document_tone': {'tones': [{'score': 0.692869, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
486,"{'document_tone': {'tones': [{'score': 0.692869, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
487,"{'document_tone': {'tones': [{'score': 0.692869, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
488,"{'document_tone': {'tones': [{'score': 0.692869, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
489,"{'document_tone': {'tones': [{'score': 0.541291, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
490,"{'document_tone': {'tones': [{'score': 0.670342, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
491,"{'document_tone': {'tones': [{'score': 0.667684, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
492,"{'document_tone': {'tones': [{'score': 0.667684, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
493,"{'document_tone': {'tones': [{'score': 0.667684, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
494,"{'document_tone': {'tones': [{'score': 0.563201, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
495,{'document_tone': {'tones': []}}
496,"{'document_tone': {'tones': [{'score': 0.851057, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
497,{'document_tone': {'tones': []}}
498,{'document_tone': {'tones': []}}
499,{'document_tone': {'tones': []}}
500,"{'document_tone': {'tones': [{'score': 0.563092, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
501,"{'document_tone': {'tones': [{'score': 0.793958, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
502,"{'document_tone': {'tones': [{'score': 0.862829, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
503,"{'document_tone': {'tones': [{'score': 0.862829, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
504,"{'document_tone': {'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
505,"{'document_tone': {'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
506,"{'document_tone': {'tones': [{'score': 0.575426, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
507,"{'document_tone': {'tones': [{'score': 0.575426, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
508,"{'document_tone': {'tones': [{'score': 0.589249, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
509,"{'document_tone': {'tones': [{'score': 0.735655, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
510,"{'document_tone': {'tones': [{'score': 0.502708, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
511,{'document_tone': {'tones': []}}
512,"{'document_tone': {'tones': [{'score': 0.704219, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
513,{'document_tone': {'tones': []}}
514,{'document_tone': {'tones': []}}
515,{'document_tone': {'tones': []}}
516,{'document_tone': {'tones': []}}
517,"{'document_tone': {'tones': [{'score': 0.508872, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
518,"{'document_tone': {'tones': [{'score': 0.881439, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
519,"{'document_tone': {'tones': [{'score': 0.899473, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
520,"{'document_tone': {'tones': [{'score': 0.899473, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
521,"{'document_tone': {'tones': [{'score': 0.912904, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
522,"{'document_tone': {'tones': [{'score': 0.738211, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
523,"{'document_tone': {'tones': [{'score': 0.738211, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
524,{'document_tone': {'tones': []}}
525,"{'document_tone': {'tones': [{'score': 0.558659, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
526,"{'document_tone': {'tones': [{'score': 0.70244, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
527,{'document_tone': {'tones': []}}
528,{'document_tone': {'tones': []}}
529,"{'document_tone': {'tones': [{'score': 0.778608, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
530,{'document_tone': {'tones': []}}
